"LOCATION","Location","OFFENCE","Offence","SCENE","Scene","YEAR","Year","MEASURE","Measure",Value,Flags
"BG","Northland District","04","Dangerous or negligent acts endangering persons","Z","Total Scene","2014","YE 30 June 2014","RECORDED","Recorded",25,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","1995","YE 30 June 1995","RECORDED","Recorded",290,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","1996","YE 30 June 1996","RECORDED","Recorded",280,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","1997","YE 30 June 1997","RECORDED","Recorded",348,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","1998","YE 30 June 1998","RECORDED","Recorded",273,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","1999","YE 30 June 1999","RECORDED","Recorded",368,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2000","YE 30 June 2000","RECORDED","Recorded",382,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2001","YE 30 June 2001","RECORDED","Recorded",453,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2002","YE 30 June 2002","RECORDED","Recorded",468,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2003","YE 30 June 2003","RECORDED","Recorded",439,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2004","YE 30 June 2004","RECORDED","Recorded",491,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2005","YE 30 June 2005","RECORDED","Recorded",450,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2006","YE 30 June 2006","RECORDED","Recorded",518,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2007","YE 30 June 2007","RECORDED","Recorded",478,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2008","YE 30 June 2008","RECORDED","Recorded",494,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2009","YE 30 June 2009","RECORDED","Recorded",532,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2010","YE 30 June 2010","RECORDED","Recorded",579,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2011","YE 30 June 2011","RECORDED","Recorded",502,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2012","YE 30 June 2012","RECORDED","Recorded",537,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2013","YE 30 June 2013","RECORDED","Recorded",756,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2014","YE 30 June 2014","RECORDED","Recorded",696,
"BG","Northland District","06","Robbery, extortion and related offences","Z","Total Scene","1995","YE 30 June 1995","RECORDED","Recorded",68,
"BG","Northland District","06","Robbery, extortion and related offences","Z","Total Scene","1996","YE 30 June 1996","RECORDED","Recorded",67,
"BG","Northland District","06","Robbery, extortion and related offences","Z","Total Scene","1997","YE 30 June 1997","RECORDED","Recorded",84,
"BG","Northland District","06","Robbery, extortion and related offences","Z","Total Scene","1998","YE 30 June 1998","RECORDED","Recorded",57,
"BG","Northland District","06","Robbery, extortion and related offences","Z","Total Scene","1999","YE 30 June 1999","RECORDED","Recorded",66,
"BG","Northland District","06","Robbery, extortion and related offences","Z","Total Scene","2000","YE 30 June 2000","RECORDED","Recorded",66,
"BG","Northland District","06","Robbery, extortion and related offences","Z","Total Scene","2001","YE 30 June 2001","RECORDED","Recorded",73,
"BG","Northland District","06","Robbery, extortion and related offences","Z","Total Scene","2002","YE 30 June 2002","RECORDED","Recorded",91,
"BG","Northland District","06","Robbery, extortion and related offences","Z","Total Scene","2003","YE 30 June 2003","RECORDED","Recorded",65,
"BG","Northland District","06","Robbery, extortion and related offences","Z","Total Scene","2004","YE 30 June 2004","RECORDED","Recorded",65,
"BG","Northland District","06","Robbery, extortion and related offences","Z","Total Scene","2005","YE 30 June 2005","RECORDED","Recorded",82,
"BG","Northland District","06","Robbery, extortion and related offences","Z","Total Scene","2006","YE 30 June 2006","RECORDED","Recorded",113,
"BG","Northland District","06","Robbery, extortion and related offences","Z","Total Scene","2007","YE 30 June 2007","RECORDED","Recorded",116,
"BG","Northland District","06","Robbery, extortion and related offences","Z","Total Scene","2008","YE 30 June 2008","RECORDED","Recorded",99,
"BG","Northland District","06","Robbery, extortion and related offences","Z","Total Scene","2009","YE 30 June 2009","RECORDED","Recorded",110,
"BG","Northland District","06","Robbery, extortion and related offences","Z","Total Scene","2010","YE 30 June 2010","RECORDED","Recorded",82,
"BG","Northland District","06","Robbery, extortion and related offences","Z","Total Scene","2011","YE 30 June 2011","RECORDED","Recorded",73,
"BG","Northland District","06","Robbery, extortion and related offences","Z","Total Scene","2012","YE 30 June 2012","RECORDED","Recorded",107,
"BG","Northland District","06","Robbery, extortion and related offences","Z","Total Scene","2013","YE 30 June 2013","RECORDED","Recorded",92,
"BG","Northland District","06","Robbery, extortion and related offences","Z","Total Scene","2014","YE 30 June 2014","RECORDED","Recorded",79,
"BG","Northland District","07","Unlawful entry with intent/burglary, break and enter","Z","Total Scene","1995","YE 30 June 1995","RECORDED","Recorded",3092,
"BG","Northland District","07","Unlawful entry with intent/burglary, break and enter","Z","Total Scene","1996","YE 30 June 1996","RECORDED","Recorded",2626,
"BG","Northland District","07","Unlawful entry with intent/burglary, break and enter","Z","Total Scene","1997","YE 30 June 1997","RECORDED","Recorded",2633,
"BG","Northland District","07","Unlawful entry with intent/burglary, break and enter","Z","Total Scene","1998","YE 30 June 1998","RECORDED","Recorded",2522,
"BG","Northland District","07","Unlawful entry with intent/burglary, break and enter","Z","Total Scene","1999","YE 30 June 1999","RECORDED","Recorded",2657,
"BG","Northland District","07","Unlawful entry with intent/burglary, break and enter","Z","Total Scene","2000","YE 30 June 2000","RECORDED","Recorded",2324,
"BG","Northland District","07","Unlawful entry with intent/burglary, break and enter","Z","Total Scene","2001","YE 30 June 2001","RECORDED","Recorded",2215,
"BG","Northland District","07","Unlawful entry with intent/burglary, break and enter","Z","Total Scene","2002","YE 30 June 2002","RECORDED","Recorded",2121,
"BG","Northland District","07","Unlawful entry with intent/burglary, break and enter","Z","Total Scene","2003","YE 30 June 2003","RECORDED","Recorded",2144,
"BG","Northland District","07","Unlawful entry with intent/burglary, break and enter","Z","Total Scene","2004","YE 30 June 2004","RECORDED","Recorded",2157,
"BG","Northland District","07","Unlawful entry with intent/burglary, break and enter","Z","Total Scene","2005","YE 30 June 2005","RECORDED","Recorded",2417,
"BG","Northland District","07","Unlawful entry with intent/burglary, break and enter","Z","Total Scene","2006","YE 30 June 2006","RECORDED","Recorded",2414,
"BG","Northland District","07","Unlawful entry with intent/burglary, break and enter","Z","Total Scene","2007","YE 30 June 2007","RECORDED","Recorded",2579,
"BG","Northland District","07","Unlawful entry with intent/burglary, break and enter","Z","Total Scene","2008","YE 30 June 2008","RECORDED","Recorded",2138,
"BG","Northland District","07","Unlawful entry with intent/burglary, break and enter","Z","Total Scene","2009","YE 30 June 2009","RECORDED","Recorded",2306,
"BG","Northland District","07","Unlawful entry with intent/burglary, break and enter","Z","Total Scene","2010","YE 30 June 2010","RECORDED","Recorded",2710,
"BG","Northland District","07","Unlawful entry with intent/burglary, break and enter","Z","Total Scene","2011","YE 30 June 2011","RECORDED","Recorded",2806,
"BG","Northland District","07","Unlawful entry with intent/burglary, break and enter","Z","Total Scene","2012","YE 30 June 2012","RECORDED","Recorded",2543,
"BG","Northland District","07","Unlawful entry with intent/burglary, break and enter","Z","Total Scene","2013","YE 30 June 2013","RECORDED","Recorded",2426,
"BG","Northland District","07","Unlawful entry with intent/burglary, break and enter","Z","Total Scene","2014","YE 30 June 2014","RECORDED","Recorded",3072,
"BG","Northland District","08","Theft and related offences","Z","Total Scene","1995","YE 30 June 1995","RECORDED","Recorded",6189,
"BG","Northland District","08","Theft and related offences","Z","Total Scene","1996","YE 30 June 1996","RECORDED","Recorded",5958,
"BG","Northland District","08","Theft and related offences","Z","Total Scene","1997","YE 30 June 1997","RECORDED","Recorded",5779,
"BG","Northland District","08","Theft and related offences","Z","Total Scene","1998","YE 30 June 1998","RECORDED","Recorded",5253,
"BG","Northland District","08","Theft and related offences","Z","Total Scene","1999","YE 30 June 1999","RECORDED","Recorded",5909,
"BG","Northland District","08","Theft and related offences","Z","Total Scene","2000","YE 30 June 2000","RECORDED","Recorded",5354,
"BG","Northland District","08","Theft and related offences","Z","Total Scene","2001","YE 30 June 2001","RECORDED","Recorded",5249,
"BG","Northland District","08","Theft and related offences","Z","Total Scene","2002","YE 30 June 2002","RECORDED","Recorded",5470,
"BG","Northland District","08","Theft and related offences","Z","Total Scene","2003","YE 30 June 2003","RECORDED","Recorded",5232,
"BG","Northland District","08","Theft and related offences","Z","Total Scene","2004","YE 30 June 2004","RECORDED","Recorded",4821,
"BG","Northland District","08","Theft and related offences","Z","Total Scene","2005","YE 30 June 2005","RECORDED","Recorded",4708,
"BG","Northland District","08","Theft and related offences","Z","Total Scene","2006","YE 30 June 2006","RECORDED","Recorded",5249,
"BG","Northland District","08","Theft and related offences","Z","Total Scene","2007","YE 30 June 2007","RECORDED","Recorded",4627,
"BG","Northland District","08","Theft and related offences","Z","Total Scene","2008","YE 30 June 2008","RECORDED","Recorded",4055,
"BG","Northland District","08","Theft and related offences","Z","Total Scene","2009","YE 30 June 2009","RECORDED","Recorded",4208,
"BG","Northland District","08","Theft and related offences","Z","Total Scene","2010","YE 30 June 2010","RECORDED","Recorded",4460,
"BG","Northland District","08","Theft and related offences","Z","Total Scene","2011","YE 30 June 2011","RECORDED","Recorded",4426,
"BG","Northland District","08","Theft and related offences","Z","Total Scene","2012","YE 30 June 2012","RECORDED","Recorded",3940,
"BG","Northland District","08","Theft and related offences","Z","Total Scene","2013","YE 30 June 2013","RECORDED","Recorded",3700,
"BG","Northland District","08","Theft and related offences","Z","Total Scene","2014","YE 30 June 2014","RECORDED","Recorded",4844,
"BG","Northland District","09","Fraud, deception and related offences","Z","Total Scene","1995","YE 30 June 1995","RECORDED","Recorded",763,
"BG","Northland District","09","Fraud, deception and related offences","Z","Total Scene","1996","YE 30 June 1996","RECORDED","Recorded",731,
"BG","Northland District","09","Fraud, deception and related offences","Z","Total Scene","1997","YE 30 June 1997","RECORDED","Recorded",911,
"BG","Northland District","09","Fraud, deception and related offences","Z","Total Scene","1998","YE 30 June 1998","RECORDED","Recorded",509,
"BG","Northland District","09","Fraud, deception and related offences","Z","Total Scene","1999","YE 30 June 1999","RECORDED","Recorded",659,
"BG","Northland District","09","Fraud, deception and related offences","Z","Total Scene","2000","YE 30 June 2000","RECORDED","Recorded",479,
"BG","Northland District","09","Fraud, deception and related offences","Z","Total Scene","2001","YE 30 June 2001","RECORDED","Recorded",584,
"BG","Northland District","09","Fraud, deception and related offences","Z","Total Scene","2002","YE 30 June 2002","RECORDED","Recorded",688,
"BG","Northland District","09","Fraud, deception and related offences","Z","Total Scene","2003","YE 30 June 2003","RECORDED","Recorded",710,
"BG","Northland District","09","Fraud, deception and related offences","Z","Total Scene","2004","YE 30 June 2004","RECORDED","Recorded",533,
"BG","Northland District","09","Fraud, deception and related offences","Z","Total Scene","2005","YE 30 June 2005","RECORDED","Recorded",504,
"BG","Northland District","09","Fraud, deception and related offences","Z","Total Scene","2006","YE 30 June 2006","RECORDED","Recorded",393,
"BG","Northland District","09","Fraud, deception and related offences","Z","Total Scene","2007","YE 30 June 2007","RECORDED","Recorded",281,
"BG","Northland District","09","Fraud, deception and related offences","Z","Total Scene","2008","YE 30 June 2008","RECORDED","Recorded",377,
"BG","Northland District","09","Fraud, deception and related offences","Z","Total Scene","2009","YE 30 June 2009","RECORDED","Recorded",511,
"BG","Northland District","09","Fraud, deception and related offences","Z","Total Scene","2010","YE 30 June 2010","RECORDED","Recorded",401,
"BG","Northland District","09","Fraud, deception and related offences","Z","Total Scene","2011","YE 30 June 2011","RECORDED","Recorded",337,
"BG","Northland District","09","Fraud, deception and related offences","Z","Total Scene","2012","YE 30 June 2012","RECORDED","Recorded",316,
